;age;email;first_name;gender;genre;key;location;password;prefDate;rating;title_type;genre;top5
12;1993-06-10;Neliatje@gmail.com;Nelia;Female;['SCIENCE', 'INDIGENOUS'];Neliatje;Hilversum;!sSj4DNk;[2017, 2022];['No preference'];['Documentary', 'Movie', 'News'];['SCIENCE', 'INDIGENOUS'];"[""Four Corners"", ""Hunting The Essex Lorry Killers"", ""Miriam's Deathly Adventure"", ""Decoding Danger"", ""Stand By Me"", ""Children Of The Revolution"", ""Inside The Met"", ""Bee Cause"", ""An Accidental Soldier"", ""You Can't Ask That: Invictus Games""]"
13;2002-12-15;HayleeXX@hotmail.com;Haylee;Female;['FAMILY', 'ARTS & CULTURE'];HayleeXX;Ridderkerk;w[a2eTs(;[2021, 2022];['M'];['Panel_Discussion', 'Movie', 'tv'];['FAMILY', 'ARTS & CULTURE'];"[""Mr Smith Goes To Washington"", ""The Road"", ""Places In The Heart"", ""Insidious"", ""The Lost Bladesman"", ""Numberblocks"", ""Splinter"", ""Easy Rider"", ""Absolutely Anything"", ""The Men Who Stare At Goats""]"
14;1988-05-02;Christiana123@icloud.com;Christiana;Female;['KIDS', 'PANEL & DISCUSSION'];Christiana123;Ede;d8/AXLda;[2018, 2022];['No preference'];['News'];['KIDS', 'PANEL & DISCUSSION'];"[""Wide Open Spaces"", ""Lake Eyre"", ""Budget 2022: Opposition Reply"", ""The Drum"", ""ABC News SA"", ""Four Corners Classics"", ""Flight To Freedom"", ""ABC News Video Lab"", ""Afternoon Briefing"", ""7.30: The Interviews""]"
15;1977-12-03;Chastity759@outlook.com;Chastity;Female;['SCIENCE', 'ARTS & CULTURE'];Chastity759;Venray;}qMYLe4^;[2017, 2022];['MA', 'PG'];['Movie', 'Documentary'];['SCIENCE', 'ARTS & CULTURE'];"[""Beyond The Towers"", ""Australia Remastered: Wild Wars"", ""Newcastle"", ""And We Danced"", ""Our Dawn"", ""The Twist"", ""Making Of David Attenborough's Natural History Museum Alive"", ""Charlie's Country"", ""The Making Of Flying Monsters With David Attenborough"", ""Bright Young Things""]"
16;1966-06-29;Annetjuuh@icloud.com;Anne;Female;['FAMILY', 'DRAMA'];Annetjuuh;Harderwijk;6(]Kg)ND;[2016, 2021];['G', 'MA'];['Documentary', 'News', 'Panel_Discussion'];['FAMILY', 'DRAMA'];"[""Wild Rides"", ""And We Danced"", ""Kumi's Japan"", ""Flight To Freedom"", ""Ageless Friendships"", ""Australia Talks 2019"", ""Devil's Advocate"", ""Books That Made Us"", ""ABC News Stories"", ""COP26: Towards Zero""]"
17;1955-12-28;Katrinatje@hotmail.com;Katrina;Female;['DRAMA'];Katrinatje;Katwijk;uHFf7^FB;[2018, 2021];['G'];['Panel_Discussion'];['DRAMA'];"[""Barrie Cassidy's One Plus One"", ""The Ticket"", ""Spicks And Specks"", ""The Drum"", ""Rosie Batty's One Plus One"", ""The Brothers' Book Club"", ""Australia Talks 2019"", ""Q+A Highlights"", ""Would I Lie To You?"", ""Q+A""]"
18;1959-07-29;Elvie759@live.nl;Elvie;Female;['INDIGENOUS', 'PANEL & DISCUSSION'];Elvie759;Hoogeveen;g+)LNaX6;[2017, 2021];['MA'];['Movie'];['INDIGENOUS', 'PANEL & DISCUSSION'];"[""Like Minds"", ""Places In The Heart"", ""Gilda"", ""Project Nim"", ""Angel"", ""South Solitary"", ""Thr3e"", ""Oliver!"", ""On The Waterfront"", ""Strummer: The Future Is Unwritten""]"
19;1996-09-19;America759@outlook.com;America;Female;['REGIONAL AUSTRALIA', 'COMEDY'];America759;Houten;K5JfChB/;[2016, 2017];['No preference'];['Movie', 'tv'];['REGIONAL AUSTRALIA', 'COMEDY'];"[""Secret State"", ""Win The Week"", ""Peter Rabbit"", ""Teenage Boss (Simplified Chinese Subtitles)"", ""Rusty Rivets"", ""St. Elmo's Fire"", ""Kiri and Lou"", ""Opera on Sydney Harbour: Carmen"", ""Peg + Cat"", ""My Tehran For Sale""]"
20;1967-08-30;Gaylatje@gmail.com;Gayla;Female;['PANEL & DISCUSSION'];Gaylatje;Zwijndrecht;8=UFzB^x;[2019, 2022];['M'];['News'];['PANEL & DISCUSSION'];"[""Boyer Lecture 2021: John Bell"", ""ABC News QLD"", ""War Stories"", ""David Brill's Story On The Frontlines"", ""7.30 Mark Humphries Satire"", ""7.30 Special: The Shane Warne Interview"", ""Foreign Correspondent"", ""Crocodile Territory: Protecting a Predator"", ""Australia Day: National Citizenship and Flag Raising Ceremony 2022"", ""Media Watch""]"
21;1994-11-29;Emileetje@hotmail.com;Emilee;Female;['KIDS', 'LIFESTYLE', 'DOCUMENTARY'];Emileetje;Zwijndrecht;tFe?3@&=;[2021, 2022];['No preference'];['Panel_Discussion', 'Movie', 'News'];['KIDS', 'LIFESTYLE', 'DOCUMENTARY'];"[""The Way We Were"", ""Alan Kohler Explains"", ""Gruen"", ""National Press Club Address"", ""A Raisin In The Sun"", ""Insiders: From The Couch"", ""The Brief"", ""My Tehran For Sale"", ""Budget 2022: Opposition Reply"", ""SA Votes: Leaders' Debate 2022""]"
22;1995-01-26;Kaelynx@outlook.nl;Kaelyn;Female;['LIFESTYLE'];Kaelynx;Zevenaar;*c5/H(S[;[2018, 2020];['M', 'MA'];['tv', 'Documentary', 'Movie'];['LIFESTYLE'];"[""California Suite"", ""Uncle Vic"", ""What's For Dinner? Lunar New Year (Simplified Chinese Subtitles)"", ""Bucket"", ""Poleng"", ""Luo Bao Bei"", ""Midsomer Murders: 20th Anniversary Special"", ""Grantchester"", ""Annika"", ""Triangle""]"
23;1962-02-28;Germainetjuuh@live.nl;Germaine;Female;['KIDS', 'ARTS & CULTURE'];Germainetjuuh;Den Helder;@va3CbQ{;[2020, 2021];['No preference'];['tv', 'Panel_Discussion', 'Documentary'];['KIDS', 'ARTS & CULTURE'];"[""Underscore"", ""Peg + Cat"", ""The Pool"", ""Fly Me To The Moon"", ""Compass"", ""Killing Eve"", ""Your Paintings"", ""INXS: Live Baby Live"", ""Jaimen Hudson: From Sky To Sea"", ""Russell Howard Stands Up To The World""]"
24;1991-03-05;Winona123@live.nl;Winona;Female;['FAMILY', 'DRAMA', 'ARTS & CULTURE'];Winona123;Zaandam;9F(4m3Z-;[2017, 2022];['No preference'];['Panel_Discussion'];['FAMILY', 'DRAMA', 'ARTS & CULTURE'];"[""The Yearly With Charlie Pickering 2021"", ""Rosie Batty's One Plus One"", ""SA Votes 2022"", ""Australia Talks 2021"", ""Would I Lie To You?"", ""The Brothers' Book Club"", ""Barrie Cassidy's One Plus One"", ""Question Everything"", ""QI"", ""Insiders: From The Couch""]"
25;1978-01-02;Babette123@hotmail.nl;Babette;Female;['LIFESTYLE', 'DOCUMENTARY', 'DRAMA'];Babette123;Rheden;x3Fp>LNx;[2020, 2021];['No preference'];['Documentary', 'Panel_Discussion'];['LIFESTYLE', 'DOCUMENTARY', 'DRAMA'];"[""Bronwyn Oliver: The Shadows Within"", ""Lockdown Stories"", ""Insiders: The Interviews"", ""Attenborough And The Empire Of The Ants"", ""Girl Like You"", ""Uncle Vic"", ""Re-Frame 2020"", ""Hitting Home With Sarah Ferguson"", ""Catalyst"", ""Who Killed Belinda Peisley?""]"
26;1958-05-07;Marvel01@outlook.com;Marvel;Female;['DOCUMENTARY', 'NEWS'];Marvel01;Zevenaar;WQZ6}BGd;[2019, 2021];['PG', 'M', 'G'];['Documentary'];['DOCUMENTARY', 'NEWS'];"[""Midsomer Murders: 20th Anniversary Special"", ""Joanna Lumley And The Human Swan"", ""Bad Influencer"", ""Man Up"", ""David Attenborough's Micro Monsters"", ""Kevin McCloud's Grand Tour"", ""My Body Says"", ""The Missing Children"", ""Fly Me To The Moon"", ""Blasko""]"
27;1980-06-25;Joseph@hotmail.nl;Joseph;Female;['INDIGENOUS'];Joseph;Amsterdam;p+2deDvB;[2018, 2022];['M', 'PG'];['Panel_Discussion', 'Documentary', 'News'];['INDIGENOUS'];"[""Insiders: Talking Pictures"", ""Foreign Correspondent: The Rise Of China"", ""Stackorama!"", ""Muster Dogs"", ""ABC News VIC"", ""Laura's Choice"", ""Back To Earth: Stargazing Live"", ""The Business"", ""Big Weather (and how to survive it)"", ""The Making Of David Attenborough's Galapagos""]"
28;2001-04-26;Marcia759@icloud.com;Marcia;Female;['EDUCATION', 'DOCUMENTARY'];Marcia759;Zwolle;_9FYN-gk;[2016, 2017];['No preference'];['News', 'Documentary', 'Movie'];['EDUCATION', 'DOCUMENTARY'];"[""The Making Of David Attenborough's Conquest Of The Skies"", ""Desert Metal Dreaming"", ""Making Of Micro Monsters with David Attenborough"", ""Tempe Tip"", ""Control"", ""China Tonight"", ""Dr Kwane: The Street Vet"", ""Flight To Freedom"", ""Man Up"", ""The Upside""]"
29;1974-05-21;Maryanntje@hotmail.com;Maryann;Female;['ARTS & CULTURE'];Maryanntje;Deventer;n{_W9q=P;[2018, 2020];['PG', 'G'];['Movie'];['ARTS & CULTURE'];"[""Adoration"", ""Looking For Eric"", ""Mabo"", ""The Dinner"", ""Peggy Sue Got Married"", ""You're Next"", ""Goldstone"", ""The Black Balloon"", ""Trust The Man"", ""My Girl""]"
30;1958-07-07;Janette759@gmail.com;Janette;Female;['DRAMA', 'PANEL & DISCUSSION'];Janette759;Roosendaal;v}Z76M*7;[2018, 2021];['No preference'];['Movie', 'Panel_Discussion'];['DRAMA', 'PANEL & DISCUSSION'];"[""Pina"", ""An Accidental Soldier"", ""Charlie's Country"", ""St. Elmo's Fire"", ""One Plus One"", ""100 Bloody Acres"", ""The Well"", ""Gruen"", ""Mr Smith Goes To Washington"", ""Back To Earth: Stargazing Live""]"
31;1961-01-13;Lori@outlook.nl;Lori;Female;['NEWS'];Lori;Den Helder;+c]X%9K!;[2017, 2018];['No preference'];['Documentary'];['NEWS'];"[""Just Between Us"", ""That Christmas"", ""Fly Me To The Moon"", ""Griff's Great Australian Rail Trip"", ""Muster Dogs"", ""David Attenborough's First Life"", ""Louis Theroux: Shooting Joe Exotic"", ""Lockdown Stories"", ""The Poles Revealed"", ""Diana""]"
32;1957-02-04;Shauna123@live.nl;Shauna;Female;['FAMILY'];Shauna123;Den haag;_9FYN-gk;[2019, 2020];['PG'];['Movie', 'Panel_Discussion'];['FAMILY'];"[""Q+A"", ""The Lost Aviator"", ""The Ticket"", ""My Tehran For Sale"", ""Lore"", ""Starter For 10"", ""The Mule"", ""The Big Heat"", ""The Last Picture Show (Director's Cut)"", ""Sherpa""]"
33;1962-10-16;Roxie@hotmail.com;Roxie;Female;['INDIGENOUS'];Roxie;Purmerend;hP{}z3$T;[2021, 2022];['G'];['Documentary', 'News', 'tv'];['INDIGENOUS'];"[""Spirit Riding Free"", ""Christmas In Australia With Christine Anu"", ""China's Artful Dissident"", ""Prepping Australia"", ""Thunderbirds Are Go"", ""Thomas And Friends: Big World! Big Adventures! The Movie"", ""The Six: Titanic's Last Secret"", ""Space Nova"", ""Rake"", ""The Art of Remembrance""]"
34;1953-12-13;ReneXX@outlook.nl;Rene;Female;['PANEL & DISCUSSION', 'NEWS'];ReneXX;Sittard;^r)M-r5_;[2016, 2018];['MA'];['Movie', 'Panel_Discussion'];['PANEL & DISCUSSION', 'NEWS'];"[""Adoration"", ""Peggy Sue Got Married"", ""Wild Target"", ""Insiders"", ""Oliver!"", ""South Solitary"", ""Q+A Highlights"", ""Children Of The Revolution"", ""The Ticket"", ""Lore""]"
35;1990-05-24;Louisatjuuh@gmail.com;Louisa;Female;['INDIGENOUS', 'ARTS & CULTURE', 'REGIONAL AUSTRALIA'];Louisatjuuh;Zwolle;Vj>&dY2w;[2018, 2020];['MA', 'PG'];['tv', 'Panel_Discussion', 'News'];['INDIGENOUS', 'ARTS & CULTURE', 'REGIONAL AUSTRALIA'];"[""Kylie Minogue Golden: Live in Concert"", ""Intimate Encounters: 20 Years On"", ""MaveriX"", ""PJ Masks: Meet An Yu"", ""Gruen Pitch"", ""Afternoon Briefing"", ""Total Control"", ""The Wiggles World"", ""Managing Populations"", ""Get My Job""]"
36;1956-12-19;Lovinax@live.nl;Lovina;Female;['FAMILY'];Lovinax;Katwijk;/d>97MZV;[2016, 2021];['No preference'];['Movie', 'tv', 'Documentary'];['FAMILY'];"[""Stan Grant's One Plus One"", ""The Penguins Of Madagascar"", ""Bronwyn Oliver: The Shadows Within"", ""The Gruffalo's Child"", ""Would I Lie To You?"", ""The Honourable Wally Norman"", ""Kangaroo Beach Songs"", ""Project Nim"", ""Only God Forgives"", ""Press""]"
37;1983-10-12;Jonnietje@gmail.com;Jonnie;Female;['REGIONAL AUSTRALIA', 'LIFESTYLE'];Jonnietje;Venray;#NAAM?;[2017, 2020];['G', 'MA', 'PG'];['tv', 'Panel_Discussion'];['REGIONAL AUSTRALIA', 'LIFESTYLE'];"[""Australia Remastered: Australia's Oceans"", ""Kangaroo Beach"", ""And We Danced"", ""Miss Fisher's Murder Mysteries"", ""Turtle Odyssey"", ""Going Country"", ""Recovery: The Mayhem"", ""Giggle And Hoot"", ""Wacky Word Songs"", ""Nowhere Boys: The Book of Shadows""]"
38;1987-10-25;Gerri00@outlook.com;Gerri;Female;['DRAMA', 'EDUCATION', 'REGIONAL AUSTRALIA'];Gerri00;Rotterdam;x3Fp>LNx;[2016, 2020];['G'];['News', 'Documentary', 'Panel_Discussion'];['DRAMA', 'EDUCATION', 'REGIONAL AUSTRALIA'];"[""The Art Of Australia"", ""David Attenborough's Conquest Of The Skies"", ""The Great Australian Bee Challenge"", ""Re-Frame 2020"", ""The Exhibitionists"", ""David Attenborough's First Life"", ""Cyber Dreaming"", ""ABC News Video Lab"", ""ABC News Stories"", ""Just Between Us""]"
39;1968-06-15;Julianatjuuh@outlook.com;Juliana;Female;['DOCUMENTARY', 'EDUCATION', 'FAMILY'];Julianatjuuh;Ede;y.6v9qXP;[2019, 2022];['No preference'];['Documentary', 'Movie'];['DOCUMENTARY', 'EDUCATION', 'FAMILY'];"[""Project Nim"", ""Miriam's Deathly Adventure"", ""Creation"", ""Yves Saint Laurent"", ""The Art Of Australia"", ""China's Artful Dissident"", ""On The Road"", ""Compass"", ""Flying Swords of Dragon Gate"", ""The House With Annabel Crabb""]"
40;1976-09-04;Sidneytje@live.nl;Sidney;Female;['INDIGENOUS', 'EDUCATION', 'KIDS'];Sidneytje;Zutphen;XtQr)4eB;[2017, 2020];['PG'];['Panel_Discussion', 'Movie', 'Documentary'];['INDIGENOUS', 'EDUCATION', 'KIDS'];"[""Places In The Heart"", ""You Can't Ask That: Invictus Games"", ""Nolan"", ""Once"", ""Creation"", ""Like Minds"", ""South Solitary"", ""Not Suitable For Children"", ""Coriolanus"", ""The Six: Titanic's Last Secret""]"
41;1975-05-16;Bennie759@outlook.nl;Bennie;Female;['INDIGENOUS', 'FAMILY', 'DOCUMENTARY'];Bennie759;s-Hertogenbosch;7$j^&P9H;[2016, 2021];['M', 'PG'];['tv', 'News', 'Panel_Discussion'];['INDIGENOUS', 'FAMILY', 'DOCUMENTARY'];"[""The Most Magnificent Thing"", ""New Normal"", ""The Heights (Simplified Chinese Subtitles)"", ""Little J And Big Cuz Indigenous Languages"", ""Rosie Batty's One Plus One"", ""Rake"", ""Tish Tash"", ""Mumbai - Slum Redevelopment Challenge"", ""Planet America"", ""ABC News NSW""]"
42;1959-06-09;Reginatje@hotmail.com;Regina;Female;['REGIONAL AUSTRALIA', 'LIFESTYLE'];Reginatje;Purmerend;ajQA=q6w;[2018, 2021];['No preference'];['Panel_Discussion', 'News'];['REGIONAL AUSTRALIA', 'LIFESTYLE'];"[""Australia Day: National Citizenship and Flag Raising Ceremony 2022"", ""ABC News Stories"", ""QI"", ""Budget 2022: The Treasurer's Speech"", ""Budget 2022: Opposition Reply"", ""ABC News QLD"", ""Friday Briefing"", ""The Drum"", ""David Brill's Story On The Frontlines"", ""ABC News Video Lab""]"
43;1962-04-09;Esterx@outlook.com;Ester;Female;['EDUCATION', 'DRAMA', 'REGIONAL AUSTRALIA'];Esterx;Rheden;_9FYN-gk;[2016, 2018];['PG', 'M'];['Documentary'];['EDUCATION', 'DRAMA', 'REGIONAL AUSTRALIA'];"[""Christmas Sounds Better This Year"", ""The Wonder Of Marsupials"", ""Countdown To War"", ""The Exhibitionists"", ""Searching For Superhuman"", ""Catching A Killer"", ""Compass"", ""Australian Story"", ""Books That Made Us"", ""War On Waste""]"
44;1965-01-06;Jacquelyn01@outlook.nl;Jacquelyn;Female;['SCIENCE', 'ARTS & CULTURE'];Jacquelyn01;Zutphen;/hJm(2bU;[2016, 2017];['PG', 'MA', 'M'];['News', 'Panel_Discussion', 'Documentary'];['SCIENCE', 'ARTS & CULTURE'];"[""Bee Cause"", ""Fake Or Fortune?"", ""ABC News WA"", ""Insiders: Talking Pictures"", ""Miriam Margolyes Almost Australian"", ""Alan Kohler Explains"", ""Fightback Farmers"", ""ABC News NSW"", ""ABC Late News Weekend"", ""Korea: The Bridge of No Return""]"
45;1959-01-14;Inez@hotmail.nl;Inez;Female;['ARTS & CULTURE', 'NEWS'];Inez;Zevenaar;X4T9Q$sp;[2018, 2020];['MA', 'PG', 'M'];['Movie', 'Panel_Discussion', 'Documentary'];['ARTS & CULTURE', 'NEWS'];"[""Designing A Legacy"", ""The Chemical World"", ""Hannah Gadsby's OZ"", ""Enslaved"", ""Coriolanus"", ""Australia Debates"", ""Countdown To War"", ""The Tender Hook"", ""QI"", ""Human Touch""]"
46;1969-12-21;Roselyn01@live.nl;Roselyn;Female;['ARTS & CULTURE', 'EDUCATION'];Roselyn01;Rheden;j)2=9JC[;[2016, 2020];['M', 'PG'];['Panel_Discussion'];['ARTS & CULTURE', 'EDUCATION'];"[""Adam Hills: The Last Leg"", ""Boyer Lecture 2019: Rachel Perkins"", ""The Yearly With Charlie Pickering 2021"", ""Tomorrow Tonight"", ""Gruen"", ""January 26"", ""Rosie Batty's One Plus One"", ""Spicks And Specks"", ""Insiders: From The Couch"", ""National Press Club Address""]"
47;1971-03-25;Nettie01@outlook.nl;Nettie;Female;['ARTS & CULTURE'];Nettie01;Etten-Leur;&ZM(xg3?;[2019, 2021];['No preference'];['News', 'Movie'];['ARTS & CULTURE'];"[""RetroFocus Presents: Yesterday's News"", ""Insiders"", ""Adoration"", ""ABC News Stories"", ""ABC News ACT"", ""Aftermath"", ""Boyer Lecture 2021: John Bell"", ""All That Jazz"", ""Trumbo"", ""Way Out Ag""]"
48;1998-02-15;SaundraXX@outlook.nl;Saundra;Female;['EDUCATION', 'NEWS'];SaundraXX;Zaandam;S^tP5R8b;[2016, 2021];['M'];['News', 'Documentary'];['EDUCATION', 'NEWS'];"[""Bird Nerd: The Art Of Leila Jeffreys"", ""Wide Open Spaces"", ""Shane Warne: In Conversation with Tracey Holmes"", ""The Beautiful Bush"", ""And We Danced"", ""Chopsticks Or Fork?"", ""Louis Theroux's Forbidden America"", ""Songs Of Praise: Gospel Singer Of The Year 2021 Semi-Final"", ""Decoding Danger"", ""Waltzing The Dragon With Benjamin Law""]"
49;1974-08-02;Roxanna123@outlook.com;Roxanna;Female;['LIFESTYLE', 'EDUCATION'];Roxanna123;Heerlen;$Ug65HxP;[2018, 2021];['M', 'MA'];['Panel_Discussion'];['LIFESTYLE', 'EDUCATION'];"[""Insiders: Talking Pictures"", ""The Ticket"", ""SA Votes 2022"", ""Adam Hills: The Last Leg"", ""Mock The Week"", ""Q+A"", ""Would I Lie To You?"", ""Shane Warne: In Conversation with Tracey Holmes"", ""Tomorrow Tonight"", ""The Brothers' Book Club""]"
50;1964-10-16;KaraXX@outlook.nl;Kara;Female;['COMEDY'];KaraXX;Rotterdam;&[45rEjb;[2017, 2019];['No preference'];['Documentary'];['COMEDY'];"[""Luke Warm Sex"", ""Cracking COVID"", ""You Can't Ask That: Invictus Games"", ""Scottish Vets Down Under"", ""Bad Influencer"", ""Armadillo: Narrated By David Attenborough"", ""Lucy The Human Chimp"", ""The Making Of David Attenborough's Conquest Of The Skies"", ""Lockdown Stories"", ""Desert Metal Dreaming""]"
51;1992-06-12;Virgil@outlook.com;Virgil;Female;['FAMILY'];Virgil;Gouda;6&Ya_d@q;[2016, 2017];['PG'];['tv'];['FAMILY'];"[""Silent Witness"", ""Brave Bunnies"", ""The Queen's Green Planet"", ""Pip And Posy"", ""Managing Populations"", ""Big Weather (and how to survive it) (Simplified Chinese Subtitles)"", ""MY:24"", ""Room On The Broom"", ""Born To Spy"", ""David Attenborough's Tasmania""]"
52;1958-07-09;JessieXX@gmail.com;Jessie;Female;['DRAMA', 'PANEL & DISCUSSION'];JessieXX;Zeist;znJSP5/q;[2016, 2017];['G', 'M', 'PG'];['Panel_Discussion', 'News', 'Movie'];['DRAMA', 'PANEL & DISCUSSION'];"[""Australia Talks 2021"", ""The Florida Project"", ""Budget 2022: Opposition Reply"", ""I'm Not There"", ""9/11 Stories"", ""Lake Eyre"", ""Insiders: The Interviews"", ""ABC News TAS"", ""The Beautiful Bush"", ""Our Dawn""]"
53;1990-11-30;Verdiex@icloud.com;Verdie;Female;['DOCUMENTARY', 'ARTS & CULTURE'];Verdiex;Hilversum;qEw5S)7^;[2016, 2017];['No preference'];['Movie'];['DOCUMENTARY', 'ARTS & CULTURE'];"[""The Last Station"", ""The Last Picture Show (Director's Cut)"", ""Cliffy"", ""Devil's Knot"", ""Tempe Tip"", ""Chicken People"", ""California Suite"", ""Insidious"", ""My Kingdom"", ""The Sorcerer and the White Snake""]"
